subject,condition,trial_type,trial_num,target_item,selected_item,correct,landing_position,excluded
5,left,training,7,2,0,0,,False
5,left,training,8,6,0,0,,False
5,left,training,9,5,0,0,,False
5,left,training,10,3,3,1,,False
5,left,training,11,4,3,0,,False
5,left,training,12,7,7,1,,False
5,left,training,13,1,1,1,,False
5,left,training,14,0,0,1,,False
5,left,training,15,2,5,0,,False
5,left,training,16,6,6,1,,False
5,left,training,17,3,3,1,,False
5,left,training,18,2,2,1,,False
5,left,training,19,7,7,1,,False
5,left,training,20,0,0,1,,False
5,left,training,21,4,4,1,,False
5,left,training,22,1,1,1,,False
5,left,training,23,5,5,1,,False
5,left,training,24,0,0,1,,False
5,left,training,25,2,2,1,,False
5,left,training,26,1,1,1,,False
5,left,training,27,6,6,1,,False
5,left,training,28,3,3,1,,False
5,left,training,29,4,4,1,,False
5,left,training,30,5,5,1,,False
5,left,training,31,7,7,1,,False
5,left,training,32,1,1,1,,False
5,left,training,33,4,4,1,,False
5,left,training,34,2,2,1,,False
5,left,training,35,0,0,1,,False
5,left,training,36,7,7,1,,False
5,left,training,37,3,3,1,,False
5,left,training,38,6,6,1,,False
5,left,training,39,5,5,1,,False
5,left,training,40,1,1,1,,False
5,left,training,41,4,4,1,,False
5,left,training,42,5,5,1,,False
5,left,training,43,3,3,1,,False
5,left,training,44,7,7,1,,False
5,left,training,45,2,2,1,,False
5,left,training,46,0,0,1,,False
5,left,training,47,6,6,1,,False
5,left,training,48,2,2,1,,False
5,left,training,49,4,4,1,,False
5,left,training,50,1,1,1,,False
5,left,training,51,6,6,1,,False
5,left,training,52,3,3,1,,False
5,left,training,53,0,0,1,,False
5,left,training,54,7,7,1,,False
5,left,training,55,5,5,1,,False
5,left,training,56,0,0,1,,False
5,left,training,57,5,5,1,,False
5,left,training,58,3,3,1,,False
5,left,training,59,7,7,1,,False
5,left,training,60,4,4,1,,False
5,left,training,61,2,2,1,,False
5,left,training,62,1,1,1,,False
5,left,training,63,6,6,1,,False
5,left,test,0,4,4,1,108,False
5,left,test,1,7,7,1,102,False
5,left,test,2,6,6,1,84,False
5,left,test,3,2,2,1,92,False
5,left,test,4,2,2,1,78,False
5,left,test,5,0,0,1,108,False
5,left,test,6,2,2,1,80,False
5,left,test,7,0,0,1,85,False
5,left,test,8,1,1,1,101,False
5,left,test,9,1,1,1,92,False
5,left,test,10,7,7,1,92,False
5,left,test,11,7,7,1,104,False
5,left,test,12,1,1,1,96,False
5,left,test,13,0,0,1,106,False
5,left,test,14,3,3,1,100,False
5,left,test,15,4,4,1,95,False
5,left,test,16,3,3,1,93,False
5,left,test,17,7,7,1,94,False
5,left,test,18,5,5,1,90,False
5,left,test,19,4,4,1,101,False
5,left,test,20,1,1,1,104,False
5,left,test,21,2,2,1,100,False
5,left,test,22,1,1,1,90,False
5,left,test,23,3,3,1,94,False
5,left,test,24,0,0,1,94,False
5,left,test,25,6,6,1,91,False
5,left,test,26,2,2,1,101,False
5,left,test,27,5,5,1,88,False
5,left,test,28,1,1,1,80,False
5,left,test,29,3,3,1,88,False
5,left,test,30,6,6,1,106,False
5,left,test,31,0,0,1,82,False
5,left,test,32,2,2,1,,False
5,left,test,33,0,0,1,85,False
5,left,test,34,4,4,1,83,False
5,left,test,35,3,3,1,124,False
5,left,test,36,4,4,1,94,False
5,left,test,37,4,4,1,138,False
5,left,test,38,2,2,1,95,False
5,left,test,39,6,6,1,86,False
5,left,test,40,5,5,1,98,False
5,left,test,41,7,7,1,81,False
5,left,test,42,6,6,1,102,False
5,left,test,43,3,3,1,79,False
5,left,test,44,6,6,1,87,False
5,left,test,45,6,6,1,77,False
5,left,test,46,5,5,1,91,False
5,left,test,47,2,2,1,81,False
5,left,test,48,5,5,1,61,False
5,left,test,49,1,1,1,38,False
5,left,test,50,7,7,1,86,False
5,left,test,51,4,4,1,116,False
5,left,test,52,3,3,1,79,False
5,left,test,53,6,6,1,101,False
5,left,test,54,3,3,1,89,False
5,left,test,55,7,7,1,114,False
5,left,test,56,0,0,1,93,False
5,left,test,57,5,5,1,,False
5,left,test,58,1,1,1,101,False
5,left,test,59,4,4,1,,False
5,left,test,60,7,7,1,85,False
5,left,test,61,5,5,1,73,False
5,left,test,62,0,0,1,86,False
5,left,test,63,5,5,1,88,False
6,left,training,0,2,2,1,,False
6,left,training,1,7,3,0,,False
6,left,training,2,6,6,1,,False
6,left,training,3,4,4,1,,False
6,left,training,4,1,1,1,,False
6,left,training,5,0,5,0,,False
6,left,training,6,5,5,1,,False
6,left,training,7,3,3,1,,False
6,left,training,8,3,3,1,,False
6,left,training,9,0,0,1,,False
6,left,training,10,7,6,0,,False
6,left,training,11,1,1,1,,False
6,left,training,12,2,2,1,,False
6,left,training,13,6,6,1,,False
6,left,training,14,4,4,1,,False
6,left,training,15,5,5,1,,False
6,left,training,16,4,4,1,,False
6,left,training,17,5,5,1,,False
6,left,training,18,2,2,1,,False
6,left,training,19,3,3,1,,False
6,left,training,20,0,0,1,,False
6,left,training,21,6,3,0,,False
6,left,training,22,7,6,0,,False
6,left,training,23,1,0,0,,False
6,left,training,24,6,6,1,,False
6,left,training,25,7,7,1,,False
6,left,training,26,5,5,1,,False
6,left,training,27,2,2,1,,False
6,left,training,28,3,3,1,,False
6,left,training,29,0,0,1,,False
6,left,training,30,1,1,1,,False
6,left,training,31,4,4,1,,False
6,left,training,32,6,6,1,,False
6,left,training,33,0,0,1,,False
6,left,training,34,4,4,1,,False
6,left,training,35,7,7,1,,False
6,left,training,36,1,1,1,,False
6,left,training,37,2,3,0,,False
6,left,training,38,5,5,1,,False
